language,location,messsage
en,India,RT @tonesatan: masjid al-aqsa is 128 years older than notre dame and is literally one of the holiest sites in islam. our prophet led prayers towards it and the fact that everyone is ignoring this says a lot about how much people don't care about us. https://t.co/revCkuyyas
pt,,"RT @Rjrr_7: Sobreviveu a Revolução Francesa e a duas guerras mundiais. Corou dezenas de Reis. E nela, Napoleão se tornou Imperador. Quase 1 milênio de história. Majestosa foi Notre-Dame. https://t.co/InhHIWu4HY"
es,,"RT @elbarroquista: Con más de 24 horas de distancia sobre el terrible incendio que sufrió ayer la catedral de Notre-Dame de París, me gustaría hacer una serie de consideraciones.

HILO https://t.co/G0y4l2qIwQ"
en,"North Carolina, USA","RT @RealJack: WOW: Fox News Randomly Hangs Up On Catholic League President For Raising Questions On The Notre Dame Fire

 https://t.co/wKAVOot4sG"
en,"Florida, USA","RT @SaraVanderwegen: Built in 1163. Took 200 years to complete. 
It survived revolutions, plagues and world wars. 
And now, the evening of April 15th 2019, the Notre Dame in Paris burns. 
All history gone. 

The world stands helpless as history disappears before our eyes. 💔  

Im so sorry #NotreDame https://t.co/aHYu5fOJqo"
es,,RT @le_Parisien: Incendie de Notre-Dame : le coq de la flèche de Notre-Dame a été retrouvé dans les décombres https://t.co/YCLi3BySrK #Rediff
pt,,"RT @padre_paulo: Igreja, não museu. — Sem o olhar da fé, que é o incêndio que afetou a Catedral de Notre-Dame de Paris senão a destruição de um simples “museu”? https://t.co/HE8OjoD8ol https://t.co/uEqE0b3D41"
en,,"RT @yashar: The rebuild of Notre Dame will be well funded. 

In the past month, three historically black churches in Louisiana were destroyed by a racist arsonist. He has been charged with hate crimes, but these churches need your help. Please join me in donating https://t.co/gj1BcNsGpu"
en,"Youngstown, OH",@notaxation Saw a “Shower Thought” this morning that simply said “Somebody was going to visit Notre Dame for the first time today and was really excited about it.”
en,,"RT @PrisonPlanet: The Vice-President of the French student union at the University of Lille reacted to the Notre Dame fire by tweeting, “I swear to Allah we don’t give a rat’s ass.” https://t.co/y9k78s0JIF"
en,Singapore...Balulang,"RT @BuraiGonzaresu: *Notre-Dame in flames*

Some Filipinos: ""Omg nasusunog ang Notre-Dame HUHUHU""

*Government and businesses deliberately destroy cultural sites, landmarks and communities (e.g. Marawi, IP communities, etc.)*

Some Filipinos: ""Omg umuunlad na ang Pilipinas HUHU hashtag progress."""
en,"from Enumclaw, WA","RT @yashar: The rebuild of Notre Dame will be well funded. 

In the past month, three historically black churches in Louisiana were destroyed by a racist arsonist. He has been charged with hate crimes, but these churches need your help. Please join me in donating https://t.co/gj1BcNsGpu"
en,Iraq,"ئەندازیارەکان بە هۆی یاری Assassin's Creed Unityـەوە دووبارە کەنیسە سووتاوەکەی Notre Dame بنیاد دەنێنەوە, https://t.co/T02BaB8zt8,"
en,,"RT @MichelleObama: The majesty of Notre Dame—the history, artistry, and spirituality—took our breath away, lifting us to a higher understanding of who we are and who we can be. Being here in Paris tonight, my heart aches with the people of France. Yet I know that Notre Dame will soon awe us again. https://t.co/p1mIDMbwe1"
en,"Port Isabel, TX","RT @BFMTV: Julien Le Bras (Europe Échafaudages): ""Il n'y avait absolument aucun ouvrier au moment de l'incendie"" de Notre-Dame https://t.co/wYwcqFU7rn"
en,,"RT @RanttMedia: French officials ruled out arson or terrorism. But facts never deter the right.

Right-wing pundits like Glenn Beck spread a conspiracy theory that ""Islamists"" might be behind the #NotreDameCathedralFire.

Islamophobia took 50 lives in New Zealand.

Enough
https://t.co/lpFt7IxDiQ"
es,PUERTO RICO,Radiografía de Notre Dame: así era y es la catedral de París https://t.co/9XziMY5qvm vía @20m
en,,RT @KayaJones: I feel physically ill. Our Holy Week is hitting with a heavy loss. Notre Dame de Paris is on fire. My favorite church in all the world. I’ve been so many times. To Easter mass even. Dear Lord 💔🙏🏼 I send my deepest condolences to the French people. And to all Christians. 💔🙏🏼✝️ https://t.co/96K4lpWLvg
en,,"RT @imperiumsilver: I heard this outside of my window and found this. Notre Dame is being serenaded. Honestly, it’s more moving than I could describe. https://t.co/3AZRkFh1yO"
es,,RT @fran_hevia: Una tragedia lo de Notre Dame. No encuentro foto de la última vez que fui a París pero les comparto ésta de ahora que estuve en Aguascalientes. https://t.co/36JekemdGs
en,Over the rainbow,"RT @communistbabe: contrary to popular believe, it IS possible to mourn the notre dame and think critically about the constant and ongoing loss of major historic artifacts in places like iraq and syria at the same time"
en,Over the rainbow,"RT @communistbabe: contrary to popular believe, it IS possible to mourn the notre dame and think critically about the constant and ongoing loss of major historic artifacts in places like iraq and syria at the same time"
ja,午前X時の危険地帯,RT @matchan_jp: 点群データによる「デジタルツイン」は永遠だとしたら、それが「歴史」とどう共存するのか？ 痛ましくもその象徴的なレッスンになる＞ 火災に遭ったノートルダム大聖堂の「未来」は、遺されたデジタルデータが握っている @wired_jp https://t.co/gZSKTZctwR #ノートルダム #デジタルツイン
en,Canada,"RT @EmeraldRobinson: Dear media: of the more than 700 Christian churches which have been vandalized/burned/desecrated in France in the last 12 months, the Notre Dame fire appears to be the only one that is being treated as a possible accident by workmen. How's that for perspective? #NotreDameFire"
fr,France,"RT @spetsnagirl: « ...le clocher de Notre Dame est digne d’un don ... 😊 »
(je sais ...mais c’est pour détendre ...! »
❤️ https://t.co/8cW3rCeQgV"
fr,France,RT @le_Parisien: Incendie de Notre-Dame : le coq de la flèche a été retrouvé dans les décombres ! Récit &gt; https://t.co/y4N2d1LTiF https://t.co/yhC8BLbNzD
ja,仄暗い海の底闇。,"RT @igirisumonya: https://t.co/BKa1h81dxj
激しく燃えたノートルダムの瓦礫の中から、gold cross intact(無傷の金十字)が見つかったと、話題に👍😊 

神懸かっているとか。 

イースターを前に、希望の兆しだとか。

西欧骨董 英国展 骨董市 銀 #アンティーク https://t.co/TQMvgoXzNV"
en,Dersim,"RT @GFFN: Lyon defender Jason Denayer on the €600m committed by billionaires to restoring Notre Dame: ""A wonderful gesture but a shame that they don't do the same for the thousands of children dying of famine."" (IG)"
pt,,"RT @ribeirocatolico: Macron logo que assumiu a presidência em 2017, cortou a verba de manutenção da Catedral de Notre Dame. A Catedral já estava passando por sérias dificuldades de manutenção e parte de algumas estatuas estavam esfarelando. O estado moderno francês odeia o Antigo Regime Católico."
es,69º,"RT @nicolascori: La «générosité» des milliardaires français:
Acte 1: La famille Pinault annonce qu'elle va verser 100 M€ pour Notre Dame.
Acte 2: Jean-Jacques Aillagon, directeur de Pinault Collection (qui rassemble les oeuvres d'art de François Pinault), demande une réduction d'impôt de 90%. https://t.co/FUd1QMITmT"
es,Comodorense en BsAs,@imbilliesbitch @JoshuJojolion @9rafa8 @elacunz @ArmoCase @saturn2198 @Hoodie_Boogie @FondoNord @David66154520 @FerJotaFer @BeverlyGili Todos ustedes están mal. Esta es Notre Dame!!! https://t.co/NE4yeelhqV
fr,Emirates Stadium,RT @opourriol: Victor Hugo remercie tous les généreux donateurs prêts à sauver Notre-Dame de Paris et leur propose de faire la même chose avec Les Misérables.
es,"Santiago, Chile",RT @_Fzst: TVN usando imágenes del Minecraft para su reportaje sobre Notre Dame lol https://t.co/VzqxoJ1Uh5
en,,"RT @yashar: The rebuild of Notre Dame will be well funded. 

In the past month, three historically black churches in Louisiana were destroyed by a racist arsonist. He has been charged with hate crimes, but these churches need your help. Please join me in donating https://t.co/gj1BcNsGpu"
en,"New York, NY","RT @TVsCarlKinsella: With a click of their fingers, TWO French billionaires have given €300million to restore Notre Dame. Just imagine if billionaires cared as much about uhhhh human people."
es,,"RT @ColBolivariana: - Cayeron las Torres gemelas 
- Cayó Notre Dame 
- Cayó Sergio Fajardo 
- Cayó Popeye
- Cayó el Chapo
- Cayó Guacho
- Cayó Duque en las encuestas 
- Cayó el agujero negro 

¡Eche! Cae todo el mundo y menos el enano asesino Álvaro Uribe Vélez. A ese hijueputa, quién lo cuida?"
es,Saturno,RT @bbcmundo: Sin Notre Dame no existiría Quasimodo... https://t.co/8OpgrAEbZc
tr,,Notre dame yangınında şeytani ruhlar cadılar varmış daha fazla anlatamazmış sırmış filan ajajajajajja o yangında şeytani ruh cin cadı filan yok iyi sallamış 😁
tr,"İzmir, Türkiye","RT @SavciSayan: Louis Vitton 200 milyon euro
Total 100 milyon euro
Loreal 200 milyon euro 
Kering grubu 100 milyon Euro Yanan Notre Dame katedraline bağışta bulunmuş.
Merak ettim D.bakirda yakılan, yıkılan kurşunlu camii ve dört ayaklı minare için Koçlarımız,sabancılarımız kaç lira ödedi...? https://t.co/y6UEzPaGwt"
en,"Canada, Quebec, Montreal","Before and after pictures of the Notre-Dame Cathedral...
This so sad...

#NotreDame #Notre_dame_de_Paris #NotreDameCathedralFire https://t.co/tG6wzXZ6yR"
es,Ciudad de México y Nopala Hgo,La mezquita de Al-Aqsa en Jersusalén ardió al mismo tiempo que Notre-Dame https://t.co/vLWrSWymVh
es,España,Notre Dame https://t.co/sIjQUx2m7w
en,,RT @ImAntoineHarris: Not Flint.....Puerto Rico.......Affordable Healthcare..........but Notre Dame? https://t.co/EKcgAzCEp3
en,"Portland, OR","RT @yashar: The rebuild of Notre Dame will be well funded. 

In the past month, three historically black churches in Louisiana were destroyed by a racist arsonist. He has been charged with hate crimes, but these churches need your help. Please join me in donating https://t.co/gj1BcNsGpu"
de,Berlin,RT @tagesschau: Bilder: Was die Flammen in Notre-Dame zerstörten https://t.co/LnL8EjO4sx #NotreDame #Feuer
en,"Wyandotte, MI","RT @meganromer: My heart is broken over the loss of Notre Dame. 

The Catholic Church is also one of the world’s wealthiest entities. 

If you are going to donate money to rebuild a church this week, I implore you to make it the black churches in St. Landry Parish. 

https://t.co/HBh4n80nT1"
en,,"RT @mickresearch: Trees are no longer big enough to replace the roof of #NotreDame. The damage to the world's cultural heritage speaks volumes about the loss of the world's natural heritage. 
https://t.co/SJUyMUEflz https://t.co/Rt43Qw1tPb"
es,Paraguay,RT @baeez_: Estoy seguro de que van a reconstruir Notre Dame antes de que arreglen Avelino Martínez.
en,Upper East Side,RT @valentinography: Louis Vuitton are giving 200 million to fund rebuilding the notre dame...can’t wait to see jesus carrying a speedy 60 in a stain glass window
en,United States,RT @kimguilfoyle: Fire chaplain entered burning Notre Dame to save Crown of Thorns relic https://t.co/lOBBRitzQJ via @MailOnline
es,,"@VicLeonardelli A mí no me genera tristeza lo sucedido con la catedral de Notre dame, más sabiendo que recibieron donaciones millonarias para la reconstrucción. También me acuerdo del bombardeo francés a Siria y q Francia fue aliada de Inglaterra en la guerra de Malvinas."
en,"Cebu City, Central Visayas","RT @BuraiGonzaresu: *Notre-Dame in flames*

Some Filipinos: ""Omg nasusunog ang Notre-Dame HUHUHU""

*Government and businesses deliberately destroy cultural sites, landmarks and communities (e.g. Marawi, IP communities, etc.)*

Some Filipinos: ""Omg umuunlad na ang Pilipinas HUHU hashtag progress."""
it,,RT @LucaBizzarri: Sono confuso. Non ho ancora capito se l’Europa è una merda e per andare in Francia ci deve volere il passaporto o se piangiamo commossi Notre-Dame patrimonio comune che ci rappresenta tutti. Perché vedo gente che scrive entrambe le cose. Ma gente importante.
